Ticker
AAPL
MSFT
NVDA
AMD
MU
INTC
QCOM
AVGO
AMAT
LRCX
KLAC
MRVL
ARM
ANET
CSCO
DELL
HPQ
IBM
ORCL
CRM
ADBE
NOW
PANW
CRWD
ZS
NET
PLTR
SNOW
DDOG
MDB
GOOGL
META
AMZN
NFLX
UBER
LYFT
ABNB
DASH
SHOP
TTD
PINS
SNAP
ROKU
RDDT
BABA
BIDU
JD
PDD
KWEB
FXI
JPM
BAC
WFC
C
GS
MS
SCHW
AXP
COF
USB
PNC
TFC
KEY
RF
HBAN
FITB
ALLY
BK
STT
V
MA
PYPL
SOFI
HOOD
AFRM
INTU
FIS
GPN
XYZ
COIN
MSTR
BITO
BITX
XOM
CVX
OXY
COP
EOG
SLB
HAL
BKR
MPC
VLO
PSX
KMI
ET
WMB
PBR
VALE
RIO
BHP
FCX
TECK
NUE
STLD
CLF
AA
RS
CMC
CAT
DE
URI
PWR
EMR
GE
GEV
ETN
PH
HON
MMM
RTX
LMT
BA
NOC
GD
TXT
DAL
UAL
AAL
LUV
NCLH
CCL
RCL
MAR
HLT
MGM
WYNN
CZR
DKNG
PENN
VICI
RHP
TSLA
RIVN
GM
F
STLA
TM
HMC
RUN
ENPH
SEDG
FSLR
CELH
SBUX
MCD
YUM
CMG
KO
PEP
WMT
TGT
COST
DG
DLTR
KR
LOW
HD
NKE
LULU
RH
BBY
ETSY
PFE
MRK
ABBV
BMY
LLY
JNJ
GILD
VRTX
AMGN
REGN
ISRG
TMO
DHR
MDT
BSX
SYK
CVS
UNH
HUM
CI
GDX
GDXJ
SLV
GLD
USO
UNG
TLT
HYG
LQD
KRE
IWM
QQQ
SPY
DIA
EEM
EWZ
EFA
MARA
RIOT
IREN
CLSK
SOUN
RKLB
UUUU
AG
KGC
CVNA
SERV
